sample,ENSG00000163682.15,ENSG00000181449.3,ENSG00000179603.17,ENSG00000109670.13,ENSG00000133703.11,ENSG00000178568.13,ENSG00000079999.13,ENSG00000077782.19,ENSG00000159216.18,ENSG00000141510.15
TCGA-56-8305-01,9.8350,5.9991,-3.0469,2.4465,3.5461,-3.6259,5.7420,3.7182,4.0198,5.9045
TCGA-21-1083-01,10.4237,-3.0469,-1.3548,2.9581,3.9175,-2.0529,6.2273,2.7931,3.9992,5.4300
TCGA-33-4587-11,11.5353,0.5955,-2.7274,2.3843,2.4960,-1.6394,4.9570,3.7815,2.6255,3.5299
TCGA-58-A46N-01,8.8082,7.8253,-0.2671,2.0289,4.0136,-6.5064,7.0628,3.1572,3.4007,1.3735
TCGA-56-A4BX-01,8.3186,8.0997,-2.2447,1.9111,4.0977,-9.9658,7.2213,3.2752,4.2818,1.7489
TCGA-34-7107-01,8.7801,6.7658,-1.0262,2.3193,3.9910,-2.5479,6.9354,3.9847,3.8837,6.1410
TCGA-56-7222-01,9.9144,5.2521,-2.2447,2.2633,3.8187,-2.4659,5.2521,2.7117,3.2856,2.1702
TCGA-37-4129-01,10.6808,0.1776,4.6938,3.8749,3.3577,-2.2447,5.5034,5.1244,0.7058,3.1327
TCGA-77-8145-01,7.7785,6.8036,-2.3147,2.8582,3.0893,-9.9658,5.3302,5.4216,4.8084,3.2267
TCGA-33-AASD-01,8.2648,5.5500,-2.3147,3.9289,3.6555,-2.3147,6.0385,3.7127,4.9260,4.1310
TCGA-22-5478-01,9.2482,4.5736,-3.6259,3.3647,3.2557,-3.1714,4.9510,4.2601,4.4900,4.8074
TCGA-92-8063-01,9.4313,5.8985,-2.1779,1.8444,3.0446,-9.9658,5.8375,3.9709,4.2480,6.0862
TCGA-39-5028-01,10.0726,2.5804,-2.6349,2.9618,3.1653,-2.9324,5.2262,4.8355,4.5602,4.1756
TCGA-58-A46J-01,9.1280,6.6038,-4.0350,2.5707,3.2870,-0.8863,5.4030,3.8421,3.8491,5.7819
TCGA-37-4133-01,10.8572,6.3418,-1.7322,0.9568,2.96,-3.458,5.4591,1.8564,2.5213,4.8944
TCGA-22-5482-01,10.8063,6.1252,-3.0469,1.7097,3.3148,-9.9658,6.1554,2.7763,3.6793,6.0665
TCGA-34-7107-11,9.6089,-0.0725,-3.1714,2.8720,2.6090,-0.9686,4.4243,4.7187,4.4081,4.0619
TCGA-77-7142-01,9.4488,6.6915,-2.9324,2.1830,4.5748,-1.9379,5.3155,3.4007,4.4270,5.9364
TCGA-60-2719-01,8.8256,5.9993,-2.6349,2.2019,3.9478,-4.0350,5.9835,3.5911,3.9318,6.1689
TCGA-39-5031-01,10.4187,7.0538,-2.7274,3.0145,3.2900,-0.6193,5.7877,4.6006,3.9883,3.3577
TCGA-18-3409-01,10.7404,-0.5332,-1.0862,3.9765,3.4318,-4.0350,4.7104,4.8595,4.6095,3.6030
TCGA-63-5128-01,10.5687,6.1237,-4.6082,2.0395,5.1704,-3.8160,4.9284,3.5035,3.2343,2.4985
TCGA-56-A4BW-01,8.4301,5.6932,-1.8836,2.6873,3.9947,-4.0350,5.8711,2.9710,4.0584,4.7762
TCGA-56-8308-01,8.6979,8.2330,-0.6416,2.6255,4.1804,-4.2934,6.1659,3.7400,4.5510,4.9723
TCGA-85-8353-01,8.6767,6.1747,-1.2142,2.7868,2.6738,-3.3076,5.3868,4.4457,4.9514,3.6242
TCGA-85-8277-01,10.0801,6.3841,-1.6394,2.1378,3.8105,-5.5735,6.8917,3.4020,3.9974,6.1647
TCGA-22-4604-01,9.7366,7.2376,-1.9942,2.4779,3.4543,-4.0350,5.4310,4.4277,4.1867,3.6703
TCGA-77-7463-01,9.5581,5.8689,-3.4580,2.9338,3.2572,-3.0469,5.8570,4.6041,3.3535,2.6738
TCGA-39-5039-01,10.6836,3.5547,-2.8262,2.3280,2.5061,-1.5522,5.4091,3.4881,3.7367,3.5449
TCGA-18-5595-01,9.6293,6.0616,-0.2159,3.0927,3.1924,-5.0116,7.0149,2.5804,3.8249,6.7396
TCGA-43-7656-01,9.7192,2.3280,-0.3383,3.4451,2.9205,-4.0350,4.9681,4.3009,3.8857,5.6631
TCGA-56-7221-01,8.3569,7.5279,-2.5479,2.0569,4.0357,-1.9942,5.3038,3.5645,4.5230,5.2338
TCGA-58-8386-11,9.9244,0.8488,-2.9324,2.8542,2.6348,-0.8084,4.6588,3.9213,3.5424,3.7475
TCGA-43-2576-01,10.5107,1.6281,-1.8836,2.3732,2.8341,-5.5735,5.2750,3.9031,4.0189,4.4101
TCGA-33-6737-11,10.3696,1.6234,-1.0262,2.7508,3.1556,-1.0862,4.8997,4.9928,3.0305,4.1441
TCGA-68-A59J-01,9.3719,8.1295,-0.7588,2.5585,4.4183,-2.9324,6.4288,4.2973,4.5856,4.9355
TCGA-39-5027-01,10.2502,7.7424,-2.0529,1.7870,3.7486,-3.3076,7.2960,2.4063,3.4251,5.4347
TCGA-22-5485-01,9.3132,7.2391,-4.0350,2.4008,3.5572,-3.8160,2.5852,3.4609,4.1506,6.8231
TCGA-46-6025-01,8.3009,4.3758,1.0711,2.7615,3.1860,-5.0116,4.8294,2.5585,3.5161,5.5793
TCGA-22-4593-11,9.1797,-2.9324,-2.6349,2.2082,3.3163,-0.4719,4.8218,4.6381,3.3492,4.2450
TCGA-18-3414-01,10.3872,5.1514,-1.2142,2.5363,3.5262,-2.7274,5.7071,4.5687,4.1417,5.4310
TCGA-85-A512-01,9.7140,8.5267,-1.4699,2.2051,5.0059,-5.5735,6.5977,4.9137,4.4317,3.3090
TCGA-43-6771-11,8.8660,-5.0116,-1.3548,2.9507,3.3731,-0.8863,4.7038,5.2227,4.6508,3.8571
TCGA-63-6202-01,10.8185,-5.5735,-0.5543,2.5462,3.3577,-6.5064,4.7560,3.7794,5.0339,4.8798
TCGA-46-3767-01,10.6730,3.9147,-0.9132,2.7336,3.9599,-2.4659,4.6938,4.7383,4.7950,5.2277
TCGA-58-A46L-01,8.9704,6.8558,-1.3548,2.3048,3.8269,-4.6082,6.7354,3.2189,4.0287,4.0366
TCGA-66-2790-01,8.9780,3.7006,-0.1828,3.2959,3.8521,-1.1172,4.5632,4.1506,3.8289,5.7228
TCGA-85-A4QR-01,8.7660,7.1402,-4.0350,2.2360,4.1515,-6.5064,6.1090,6.8638,3.6759,4.6502
TCGA-NC-A5HI-01,9.4558,6.4396,-3.0469,2.8740,3.9459,-4.2934,6.0422,2.8858,3.8360,5.2950
TCGA-77-A5G6-01,9.7038,6.8924,-4.0350,2.7721,3.7571,-4.6082,5.5012,3.6172,3.1620,5.6605
TCGA-22-5491-11,10.2890,-2.3147,-1.8314,2.5388,2.3871,-0.2328,5.0374,4.4667,2.9820,4.0462
TCGA-37-5819-01,10.3969,4.3527,-2.8262,3.6018,3.0110,-3.3076,5.9570,4.4108,2.6579,5.1627
TCGA-22-A5C4-01,10.0501,2.9710,-4.2934,2.9929,2.9262,-4.2934,4.3477,7.7427,3.5486,1.9931
TCGA-77-A5G3-01,8.7901,8.2353,-2.2447,2.8301,4.5429,-9.9658,6.3228,5.7258,4.6106,4.6387
TCGA-60-2714-01,10.4087,-2.2447,-1.7322,2.7270,2.8055,-5.0116,4.4660,2.2573,5.1306,5.2365
TCGA-18-4083-01,8.9548,8.1986,-0.7588,3.2826,3.7302,-5.0116,5.7814,4.2142,4.7856,4.8924
TCGA-43-8115-01,8.5378,6.4830,-1.1811,2.7183,3.5982,-5.5735,5.2873,5.2821,4.9635,4.5230
TCGA-33-AASI-01,10.6472,5.0536,-0.7834,2.4518,3.0757,-5.5735,5.4893,1.3109,3.1860,5.7764
TCGA-85-A4JC-01,10.3105,2.7636,-1.9379,1.9675,2.3337,-3.8160,5.8390,3.7421,3.1892,4.6485
TCGA-66-2785-01,10.6835,0.4447,-1.7322,2.0111,3.6370,-4.6082,7.1649,3.5161,3.2313,2.9692
TCGA-22-4605-01,8.7939,6.4007,-1.4305,2.2753,3.6737,-1.5951,6.0909,3.8391,4.3356,3.3731
TCGA-90-A4EE-01,9.4589,5.8048,-1.9379,2.4623,3.6983,-4.2934,5.6014,3.3379,4.1547,6.1771
TCGA-85-A50Z-01,9.2264,3.8905,-1.5522,2.1830,2.9432,-5.5735,5.2292,5.7312,2.8034,4.5626
TCGA-77-8008-11,9.3866,-0.2845,-2.2447,2.8916,3.1344,-0.7588,5.1123,5.2582,4.5167,4.9892
TCGA-NC-A5HL-01,8.6456,7.4417,-2.5479,2.9090,3.1844,-6.5064,6.8334,5.3274,3.8640,2.8361
TCGA-98-A538-01,8.5049,6.1202,-3.3076,3.5312,4.0153,-9.9658,5.8768,2.1862,4.1252,2.3592
TCGA-34-5234-01,12.2015,2.1213,-2.2447,2.1114,2.5756,-3.6259,4.6927,2.9729,3.1588,3.1393
TCGA-56-A5DR-01,9.3826,4.1612,-2.3884,2.2990,3.5971,-5.5735,3.7453,3.2189,4.1474,5.2208
TCGA-56-7822-01,9.1318,3.7603,-4.6082,3.5706,3.9365,-1.9942,4.6095,1.9968,4.1708,4.2728
TCGA-56-A62T-01,8.6129,4.8905,-2.4659,3.7345,3.5399,-6.5064,5.4689,3.2796,3.8013,2.3649
TCGA-34-2608-01,10.0678,4.9189,-1.6394,2.7594,3.4596,-2.5479,5.0215,4.1939,4.3709,4.8110
TCGA-77-8136-01,8.9118,4.9910,-2.7274,2.5511,3.1491,-5.0116,5.1887,4.3392,4.6888,4.5318
TCGA-66-2756-01,10.4473,5.7436,-2.6349,2.0430,3.9127,-5.5735,5.1040,2.9469,3.6916,5.9892
TCGA-43-8116-01,10.9734,5.2277,-1.9942,2.5112,4.2884,-1.9942,5.6756,2.5087,3.6600,5.6115
TCGA-18-3410-01,10.6156,3.6894,-3.1714,3.2796,3.6725,-2.4659,6.0854,2.0395,3.3759,6.6384
TCGA-66-2734-01,9.0770,4.5079,-2.9324,2.1147,3.2541,-4.6082,5.2502,3.2374,4.2111,4.9364
TCGA-33-AASB-01,10.2417,2.6114,-2.6349,2.0430,7.0955,-1.9942,6.3539,3.4116,3.6428,5.2487
TCGA-NK-A5CR-01,9.4936,8.0684,-2.5479,3.0234,3.8571,-5.5735,6.7020,7.3846,3.8935,4.6826
TCGA-90-7769-01,9.8277,7.1280,-2.5479,2.5561,3.7646,-9.9658,6.6578,2.6850,2.7161,5.3975
TCGA-37-4135-01,12.5499,3.5199,-0.7588,1.6374,3.4007,-6.5064,4.5988,1.5266,2.4171,2.4198
TCGA-98-8020-01,8.5814,0.5470,-3.0469,2.0878,3.1507,-3.8160,6.0175,3.1112,4.3435,5.3031
TCGA-22-5471-01,10.0242,6.5337,-1.5105,1.9822,4.5268,-9.9658,6.4133,2.9109,3.2313,5.9677
TCGA-66-2744-01,12.1320,2.5238,-2.1779,2.7951,3.3952,-3.6259,4.8395,3.1179,3.9346,5.6436
TCGA-77-8007-11,10.1829,-0.3566,-4.6082,2.4465,2.8602,-1.2828,5.2262,3.8611,3.9137,3.9156
TCGA-77-7335-11,10.6722,-0.4131,-2.2447,2.0844,3.0110,-1.5105,4.2571,3.9261,3.0654,4.1145
TCGA-58-A46M-01,9.0884,6.7218,-2.3884,2.0946,3.2297,-9.9658,6.7740,3.4765,3.4277,2.0707
TCGA-43-3394-01,11.3779,7.2937,-2.0529,2.2113,5.7209,-3.1714,5.4159,3.2587,3.7410,3.1278
TCGA-66-2767-01,9.6697,6.2871,-2.0529,2.7594,4.3737,-4.0350,5.2921,3.4318,3.6497,4.9969
TCGA-NC-A5HO-01,10.1328,6.2981,-1.7809,2.1509,3.7857,-6.5064,7.2680,2.5011,4.1820,4.8360
TCGA-77-8154-01,9.2844,6.6463,-2.1779,2.9128,3.6623,-1.2142,5.8130,6.2363,4.3944,5.4476
TCGA-37-A5EL-01,8.6606,4.7055,-1.1488,2.2237,3.6440,-2.1779,6.3829,2.9948,3.6018,5.3653
TCGA-22-4601-01,9.4292,7.6467,-0.5973,3.2900,3.5863,-3.4580,5.6372,6.3644,4.3075,5.9993
TCGA-22-4596-01,9.8964,1.6281,-0.5756,2.9765,3.4984,-2.6349,4.8329,4.6323,4.4257,4.4463
TCGA-21-1082-01,9.6443,5.4148,-0.3566,2.8936,3.2002,-2.5479,6.1741,4.2526,4.3428,5.9898
TCGA-98-A53J-01,9.4163,6.8890,-0.2328,2.2663,4.0171,-3.8160,6.3304,3.6289,3.6077,4.6571
TCGA-63-A5MJ-01,9.1051,6.8171,-2.2447,1.6964,3.5547,-9.9658,6.3313,4.0028,4.0935,4.9901
TCGA-33-4538-01,9.4904,6.8784,-1.2481,2.4252,4.3520,-3.3076,6.6747,3.4945,3.7291,6.3586
TCGA-56-7222-11,10.2880,-2.3884,-3.8160,2.4306,3.2781,1.3109,4.3841,3.3206,3.9089,3.8269
TCGA-34-5928-01,8.5829,4.0348,-1.5951,2.2360,3.3703,-5.5735,4.3730,5.1534,5.0233,5.8871
TCGA-98-A53A-01,10.0112,6.8759,-1.7322,3.3450,3.4894,-6.5064,5.8770,3.5199,3.5887,2.4805
TCGA-56-7223-01,9.8481,7.8429,3.6838,2.9090,5.9778,-1.6850,6.3377,6.5294,4.2818,5.7687
TCGA-77-7138-11,8.9404,0.4761,-3.0469,2.7161,3.2781,-0.5756,5.1392,4.9810,3.9792,4.1970
TCGA-56-8307-01,9.5487,4.2706,-2.3147,3.4304,2.8462,-4.2934,6.0775,3.0498,3.1572,2.8622
TCGA-J1-A4AH-01,9.7385,8.3848,-2.3147,3.4971,4.0019,-3.3076,6.0717,6.2961,3.6578,4.7159
TCGA-33-AASL-01,10.0793,7.6152,-0.9406,1.9712,3.5803,-4.0350,6.8489,0.7321,2.8381,4.6566
TCGA-58-8391-01,9.7875,6.0424,-2.1779,2.9167,2.9893,-2.6349,6.8442,4.1044,3.5596,5.7549
TCGA-66-2754-01,10.4232,5.2457,-1.7809,3.1955,4.0977,-5.5735,6.1900,2.2113,1.9415,1.9490
TCGA-85-A4QQ-01,9.7175,2.4306,-2.9324,1.9968,3.0910,-5.0116,5.5522,0.6050,4.3534,4.0567
TCGA-63-A5MB-01,9.8605,7.9168,-2.3147,2.0979,5.0153,-4.6082,6.7550,4.5380,4.3555,4.5091
TCGA-43-5670-01,10.2409,1.8643,-4.0350,2.7117,3.5411,-4.2934,5.9129,3.5086,3.5299,5.0726
TCGA-66-2758-01,11.6122,7.5594,-2.1779,2.5213,4.0627,-2.3884,6.8806,4.1145,3.3119,5.4512
TCGA-94-7557-01,9.1708,4.0233,-2.3147,2.5413,3.9346,-2.5479,5.7557,2.9857,4.4990,2.9450
TCGA-98-7454-01,9.3741,-3.8160,-3.8160,3.2450,3.5199,-1.5105,4.2624,4.1579,4.5386,4.8620
TCGA-56-8624-01,11.0724,0.7493,-9.9658,3.7006,3.6497,-2.0529,4.6433,3.8198,4.5862,3.5911
TCGA-33-A5GW-01,10.0446,6.3555,-3.0469,1.5013,3.4635,-4.0350,7.0819,2.1411,3.9737,3.5596
TCGA-63-A5MV-01,9.8315,5.8883,-2.8262,3.9645,3.4713,-4.0350,4.8022,6.2769,4.2943,2.7465
TCGA-56-8201-11,9.4485,-1.2481,-0.5756,2.5610,2.8422,-0.3022,4.5485,4.6329,3.7867,3.5608
TCGA-33-4586-01,9.1543,7.1695,-2.4659,1.8119,4.3855,-4.0350,7.3382,2.0946,3.9089,5.5348
TCGA-77-7337-11,9.3833,-0.2328,-0.5125,2.6208,3.3717,-0.1665,4.5620,4.7528,3.8551,4.2631
TCGA-68-7757-01,9.4893,6.6895,-2.8262,2.4063,3.0859,-3.0469,5.6062,4.0251,4.9566,5.1942
TCGA-56-8623-11,10.0631,2.1925,-0.9686,2.5683,2.8055,-0.7834,4.9141,4.2639,4.0019,3.6242
TCGA-66-2770-01,9.3506,5.9179,-1.4699,2.7530,3.3745,-4.6082,6.8563,3.2572,4.0278,5.7393
TCGA-51-4080-11,9.3492,0.4967,-2.7274,2.2783,2.7826,-0.0277,4.9695,4.7587,3.7378,4.4020
TCGA-O2-A52Q-01,10.9958,2.4279,-2.9324,2.3871,3.1669,-9.9658,5.8987,3.7006,4.1796,4.5886
TCGA-43-6647-01,8.2414,1.4600,-3.0469,3.3993,3.6301,-5.5735,4.2289,6.0711,4.6651,5.0086
TCGA-56-7731-01,9.4440,4.8620,-2.6349,2.5313,3.2359,-2.1140,5.4813,4.3364,4.3328,4.5832
TCGA-63-A5MN-01,9.8561,-1.1172,-1.5522,3.8501,3.0688,-6.5064,4.5742,3.4661,4.4304,3.7453
TCGA-NC-A5HF-01,8.7894,5.4243,-2.4659,2.8562,7.0967,-3.4580,6.5223,3.2737,3.8886,4.6713
TCGA-85-8071-01,8.5325,6.7537,-0.7834,3.1765,3.6463,-6.5064,6.3901,1.9527,3.3689,5.2873
TCGA-21-1076-01,9.74939062597,6.28229097201,-1.07097407247,3.30174744194,3.12281962788,-2.82621802783,5.87542745282,4.56166513311,4.48838517293,5.13218094967
TCGA-56-1622-01,8.8625,7.3542,-1.0559,3.5971,4.5565,-1.8836,5.2146,6.2689,4.6433,6.0273
TCGA-60-2697-01,9.7131,-0.1345,-2.5479,3.2959,2.8974,-1.2142,4.9824,4.4868,4.1482,4.4686
TCGA-34-5232-01,9.8114,6.1841,-2.7274,3.3206,3.4778,-4.0350,5.9743,3.4291,4.2335,5.0884
TCGA-60-2723-01,9.6603,6.2752,-2.1140,2.1606,3.7582,-3.0469,5.9091,3.2781,3.6849,3.0568
TCGA-77-8007-01,9.8397,3.3745,-2.3147,2.3564,3.2267,-9.9658,4.7549,3.8896,4.9700,4.7619
TCGA-21-1072-01,11.3409,6.5353,0.5069,2.8799,4.8100,-4.6082,5.9878,3.2752,4.2892,6.2636
TCGA-L3-A524-01,9.1550,8.9804,-0.7834,2.4753,3.5754,-4.0350,6.1757,4.2980,4.5053,5.3234
TCGA-LA-A7SW-01,9.2928,1.4756,-1.7322,2.4960,3.6600,-6.5064,5.3685,3.6725,3.6184,5.4337
TCGA-NK-A7XE-01,10.2143,5.2392,-5.5735,1.7702,3.8279,-1.1172,6.3192,2.2901,3.0688,4.9942
TCGA-56-5897-01,8.6416,3.6440,-0.8084,3.1876,3.1829,-4.6082,5.6617,4.1547,4.7421,3.5694
TCGA-43-A475-01,9.4639,6.9010,-1.2481,2.7051,3.9012,-5.0116,6.9255,3.6370,4.5355,5.0023
TCGA-56-A4ZK-01,8.6832,7.4552,-2.1779,2.8661,3.4856,-6.5064,6.1420,3.9920,4.6018,3.3549
TCGA-37-3789-01,11.8068,2.3564,-3.4580,3.4843,3.2466,-9.9658,5.1807,3.3250,3.2900,2.0979
TCGA-37-A5EM-01,8.4814,7.1927,-0.7588,2.4171,3.4556,-9.9658,5.9764,4.2825,4.4404,5.0321
TCGA-66-2792-01,9.2937,7.6172,-3.8160,2.6302,3.8411,-6.5064,6.1142,4.0242,4.3569,2.9013
TCGA-56-8309-11,9.7544,2.9710,-1.5522,2.2813,2.8199,0.2762,4.7437,4.0875,3.9147,3.5718
TCGA-NC-A5HM-01,9.8105,6.5011,-2.4659,2.4090,3.2359,-4.6082,6.0553,4.5123,3.7378,5.4838
TCGA-85-A513-01,8.9256,-2.1140,-3.0469,3.1829,1.6785,-4.0350,5.2434,6.3192,4.8876,3.6440
TCGA-60-2724-01,9.9090,3.8116,-4.0350,1.9452,3.0723,-2.2447,5.1811,5.0365,3.7877,4.1836
TCGA-22-5489-01,8.7337,3.1908,-1.6394,2.4518,2.6738,-2.0529,5.5823,7.3124,3.9223,3.4291
TCGA-85-7696-01,9.2691,6.7274,-0.6643,2.4252,3.6054,-1.7322,6.8954,4.2196,4.0593,4.9103
TCGA-68-8250-01,9.9172,5.9146,-3.8160,2.8361,4.0340,-2.8262,4.9500,5.4761,4.5040,3.3717
TCGA-66-2759-01,9.1684,5.0171,-2.7274,3.2267,3.4318,-6.5064,5.6560,3.9496,3.0481,5.4826
TCGA-51-4079-01,10.1995,6.3219,-2.5479,2.2753,3.9645,-3.6259,6.2587,2.9052,4.2289,2.8442
TCGA-85-A4CN-01,8.8178,7.5623,-1.1811,1.9786,3.2389,-6.5064,6.9806,4.5129,4.1335,5.2836
TCGA-56-A5DS-01,8.9531,6.7229,-3.6259,3.5111,3.3549,-3.1714,5.8354,5.0605,4.7253,4.2899
TCGA-22-1012-01,10.9953,7.9871,-5.0116,2.7721,3.9983,-5.0116,6.2409,3.5411,3.7127,2.7336
TCGA-77-7338-11,10.1782,0.1124,-1.5522,2.5585,3.4997,0.0580,4.7913,4.2080,3.3492,4.3263
TCGA-43-7657-01,9.4496,6.7263,-1.2481,2.1988,3.2973,-9.9658,5.3122,3.3577,4.3039,6.1281
TCGA-39-5035-01,10.0278,2.4883,-2.8262,2.3649,4.7274,-4.0350,6.2420,2.4171,3.9421,5.5311
TCGA-94-A4VJ-01,8.9442,3.5851,-3.0469,2.5487,3.6905,-9.9658,5.1993,4.5324,3.9089,5.0242
TCGA-21-A5DI-01,9.6010,5.2917,-1.7322,2.6918,4.7882,-9.9658,5.2679,3.1860,4.1828,4.0127
TCGA-85-6175-01,9.4088,1.5612,-2.0529,3.0270,2.7679,-3.8160,5.1744,5.2743,5.3841,5.2438
TCGA-37-3792-01,10.9542,-0.6643,-1.3183,2.5900,3.1669,-6.5064,5.0113,4.4516,3.4088,5.1716
TCGA-39-5024-01,10.1981,4.1351,-1.7809,2.0218,3.0481,-4.6082,6.2071,2.5972,3.9022,3.0217
TCGA-63-A5ML-01,8.7127,7.6767,-0.7588,2.5658,4.1128,-3.6259,7.0827,4.6994,3.8501,4.5205
TCGA-98-A53H-01,9.8152,5.1107,-4.0350,2.8602,3.2811,-0.4921,5.1555,4.7719,4.9308,4.3421
TCGA-60-2704-01,8.7806,5.8765,-1.4699,3.6872,3.8310,-1.7322,4.8827,5.2555,4.8739,3.5187
TCGA-52-7811-01,10.4548,4.6691,-5.0116,1.8957,3.6451,-3.3076,5.5883,3.3897,4.4861,2.8096
TCGA-34-2596-01,9.1519,7.1754,-1.7809,2.2960,4.1409,-3.6259,6.9151,4.2884,3.7302,3.3364
TCGA-56-8082-01,9.4816,7.1777,-1.1172,2.0878,3.9440,-1.8314,5.1981,5.2064,3.9337,6.4201
TCGA-85-A5B5-01,10.1492,9.3872,-0.5973,3.0252,3.0910,-9.9658,7.5798,5.8161,4.4536,5.3799
TCGA-43-7658-11,10.1522,2.5112,-1.4305,2.3280,2.8641,0.5069,5.0326,4.1392,3.7815,3.6207
TCGA-NK-A5D1-01,10.6759,4.6224,-1.5522,3.1162,3.2766,-2.4659,5.0934,6.2515,4.0127,6.1875
TCGA-66-2783-01,8.9949,6.6016,-1.0862,2.8936,3.4933,-2.2447,6.3464,2.6533,3.8501,3.4997
TCGA-85-8350-01,9.6709,5.5802,-2.9324,2.8542,3.6782,-4.0350,5.1639,4.5380,3.9901,3.1179
TCGA-NC-A5HP-01,9.7955,7.0800,-2.1140,2.0360,3.6474,-6.5064,5.7189,4.4290,4.3951,4.6679
TCGA-33-4566-01,10.6066,-3.1714,-2.5479,1.2023,3.9599,-9.9658,5.7052,1.9111,2.8137,5.4390
TCGA-77-A5GH-01,9.8689,3.5299,-0.9132,3.3061,3.1971,-5.0116,6.3302,4.1466,3.6916,5.2642
TCGA-18-5592-01,8.9838,6.5236,-1.5522,2.4332,3.2374,-9.9658,6.6624,1.4808,4.0696,6.1556
